10-434FEN3	10-434FEN3	0	0	1000/1000
11-434FEN3	10-434FEN3	0	0	1000/1000
12-435FEN3	10-434FEN3	0.0169536	0	539/1000
13-435FEN3	10-434FEN3	0.0172424	0	534/1000
1-428RN3A	10-434FEN3	0.0151872	0	571/1000
14-437FEN5	10-434FEN3	0.0154542	0	566/1000
15-437FEN5	10-434FEN3	0.0154542	0	566/1000
16-427REC	10-434FEN3	0.0185579	0	512/1000
17-427RED	10-434FEN3	0.0186195	0	511/1000
18-429REC	10-434FEN3	0.0148187	0	578/1000
19-429RED	10-434FEN3	0.0180108	0	521/1000
21-429FEC	10-434FEN3	0.0180108	0	521/1000
22-429FED	10-434FEN3	0.0180709	0	520/1000
23-430FEC	10-434FEN3	0.017653	0	527/1000
2-437RN1A	10-434FEN3	0.00928558	0	699/1000
24-430FED	10-434FEN3	0.0175939	0	528/1000
25-427FED	10-434FEN3	0.0186195	0	511/1000
26-433FEC	10-434FEN3	0.0149759	0	575/1000
27-433FED	10-434FEN3	0.0154542	0	566/1000
28-436FEC	10-434FEN3	0.0148187	0	578/1000
29-436FED	10-434FEN3	0.0148187	0	578/1000
30-440FEC	10-434FEN3	0.0157245	0	561/1000
31-440FED	10-434FEN3	0.0157245	0	561/1000
32-436REC	10-434FEN3	0.0187432	0	509/1000
33-436RED	10-434FEN3	0.0187432	0	509/1000
3-437REN7A	10-434FEN3	0.0154006	0	567/1000
34-440REC	10-434FEN3	0.0147665	0	579/1000
35-440RED	10-434FEN3	0.0147665	0	579/1000
36-441REC	10-434FEN3	0.0185579	0	512/1000
37-441RED	10-434FEN3	0.0186813	0	510/1000
38-426REC	10-434FEN3	0.0178312	0	524/1000
39-426RED	10-434FEN3	0.0179508	0	522/1000
40-427REC	10-434FEN3	0.0186813	0	510/1000
41-427RED	10-434FEN3	0.0185579	0	512/1000
42-428REC	10-434FEN3	0.0180709	0	520/1000
43-428RED	10-434FEN3	0.0180709	0	520/1000
4-437REN7B	10-434FEN3	0.0154542	0	566/1000
44-429REC	10-434FEN3	0.0148187	0	578/1000
45-429RED	10-434FEN3	0.0148187	0	578/1000
46-430REC	10-434FEN3	0.0180108	0	521/1000
47-430RED	10-434FEN3	0.0147665	0	579/1000
48-431RED	10-434FEN3	0.0180709	0	520/1000
49-432REC	10-434FEN3	0.0179508	0	522/1000
50-432RED	10-434FEN3	0.0180108	0	521/1000
51-433REC	10-434FEN3	0.0148187	0	578/1000
52-433RED	10-434FEN3	0.0147665	0	579/1000
53-434REC	10-434FEN3	0.0171844	0	535/1000
5-437REN3A	10-434FEN3	0.00928558	0	699/1000
54-434RED	10-434FEN3	0.0172424	0	534/1000
55-435REC	10-434FEN3	0.0124	0	627/1000
56-435RED	10-434FEN3	0.0124	0	627/1000
57-436REC	10-434FEN3	0.0124	0	627/1000
58-436RED	10-434FEN3	0.0124	0	627/1000
59-437REC	10-434FEN3	0.0154542	0	566/1000
60-437RED	10-434FEN3	0.0154006	0	567/1000
61-438REC	10-434FEN3	0.0145076	0	584/1000
62-438RED	10-434FEN3	0.0144562	0	585/1000
63-439REC	10-434FEN3	0.0187432	0	509/1000
6-437REN3B	10-434FEN3	0.00924552	0	700/1000
64-439RED	10-434FEN3	0.0186813	0	510/1000
65-440REC	10-434FEN3	0.0183741	0	515/1000
